AccountID,Quarter,Valuation,FeeAmount
A003,Q3-2024,4101373,8308.86
A017,Q1-2024,3101321,7341.31
A012,Q4-2024,4309722,12713.77
A002,Q3-2024,4081482,11087.22
A003,Q4-2024,2809074,6473.78
A023,Q3-2024,814236,2370.11
A020,Q2-2024,4414450,887.97
A014,Q2-2024,3978051,11502.93
A008,Q3-2024,1014322,2504.9
A024,Q2-2024,3086257,8296.36
A021,Q2-2024,2561091,7116.5
A008,Q3-2024,1685171,3537.55
A022,Q4-2024,4716025,9766.48
A016,Q1-2024,3719651,9926.22
A017,Q3-2024,1102886,2994.45
A012,Q3-2024,2237947,4696.4
A003,Q2-2024,3868938,11520.54
A006,Q1-2024,2456743,5035.45
A019,Q3-2024,3567134,10205.56
A021,Q4-2024,4051936,11248.67
A019,Q4-2024,3344573,893.32
A012,Q1-2024,4666226,674.23
A024,Q2-2024,1773598,113964.91
A010,Q4-2024,3750388,155792.74
A023,Q1-2024,4948382,10315.5
A011,Q3-2024,4920732,13475.83
A013,Q2-2024,4218786,9075.56
A010,Q4-2024,2672901,6815.84
A016,Q3-2024,2879913,7762.9
A024,Q1-2024,4910116,13074.13
A010,Q3-2024,3983969,9734.75
A003,Q4-2024,1259916,3391.46
A024,Q4-2024,4916122,14437.92
A019,Q2-2024,1070419,2640.09
A013,Q1-2024,1219179,65384.99
A012,Q1-2024,947035,2572.96
A019,Q1-2024,3130781,1423.4
A002,Q4-2024,1957926,5504.64
A015,Q1-2024,3054807,1036.47
A010,Q1-2024,2379028,6168.67
A015,Q3-2024,3610243,7754.52
A003,Q2-2024,4909539,11758.17
A002,Q4-2024,4566678,10384.15
A014,Q2-2024,838688,178.57
A006,Q2-2024,3107506,7449.9
A004,Q4-2024,847786,1957.2
A015,Q4-2024,4052561,11560.19
A011,Q4-2024,1661739,3559.72
A021,Q1-2024,2397091,132300.98
A012,Q3-2024,3703104,38.23
A002,Q3-2024,3954414,9350.81
A005,Q3-2024,4398567,11408.46
A015,Q4-2024,2551898,123846.66
A023,Q2-2024,3591106,0
A023,Q1-2024,1202428,93994.46
A019,Q3-2024,1988122,5223.59
A019,Q2-2024,1047408,2116.0
A003,Q4-2024,4974458,12840.91
A001,Q2-2024,3831015,10689.4
A015,Q3-2024,4761047,11590.25
A003,Q1-2024,4531547,12724.65
A019,Q1-2024,2760740,7458.4
A002,Q1-2024,3625499,9783.1
A009,Q2-2024,3989441,10886.63
A023,Q3-2024,2749675,7759.25
A021,Q2-2024,3500604,8707.25
A023,Q4-2024,1888618,5553.72
A011,Q1-2024,1929460,132409.32
A019,Q2-2024,829808,1883.17
A009,Q4-2024,4787571,11300.55
A002,Q4-2024,4521776,9626.46
A023,Q1-2024,1593534,3902.03
A003,Q4-2024,3937800,11160.87
A017,Q2-2024,1665847,3413.0
A015,Q4-2024,4649788,10637.29
A018,Q3-2024,3307576,59.04
A016,Q4-2024,1078291,2469.27
A001,Q2-2024,4053111,9276.5
A014,Q4-2024,1677241,4329.17
A004,Q2-2024,2510357,6951.44
A022,Q3-2024,2421776,5261.2
A008,Q4-2024,1986246,4044.6
A006,Q4-2024,3686561,10291.47
A002,Q1-2024,1014400,2768.61
A017,Q1-2024,2273178,6417.79
A018,Q4-2024,3121611,6602.02
A021,Q4-2024,3765139,10367.0
A021,Q2-2024,1694986,4972.94
A004,Q3-2024,2760501,8200.84
A007,Q2-2024,3228440,176157.21
A015,Q1-2024,3531932,7604.56
A001,Q2-2024,4715224,13084.05
A007,Q4-2024,2810791,6591.95
A018,Q4-2024,3769085,10431.43
A014,Q2-2024,3646126,7906.44
A012,Q3-2024,1286277,3069.02
A024,Q4-2024,3120728,7854.34
A021,Q1-2024,1154857,2809.63
A003,Q2-2024,1395565,2927.18
A010,Q2-2024,4589213,0.5
